text,label,spam_categories,target_Bank Scam,target_Gambling,target_General Spam,target_Phishing,cleaned_text,nb_label
"Metrobank Alert! Someone tried to access your wallet from Manila. If not you, block: bit.ly/secure-ph-263715",Bank Scam,['Bank Scam'],1,0,0,0,metrobank alerti someone tried access your wallet manila not you block urllink,Spam
06Sep03:51 AM Load Balance: P0.00 Load any promo at least P99 to get FREE 1 GB for 2 days,Ham,[],0,0,0,0,ogsepoesi load balance pooo load promo least pgg get free gb day,Ham
Your daily horoscope: Be honest with your partner. Text YES to 8888.,General Spam,['General Spam'],0,0,1,0,your daily horoscope honest your partner text yes bbbb,Spam
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,Ham,[],0,0,0,0,ummmawill call check inour life begin qatar pls pray hard,Ham
Good day! This is J&T EXPRESS COTABATO CITY. We have attempted to reach you for the delivery of your parcel but were unsuccessful. Your parcel will be RTS (Return to Sender) after 24 hours of holding period. Thank you! AWB #:783935175816 COD : 513,Ham,[],0,0,0,0,good dayi jt express cotabato city we attempted reach you delivery your parcel unsuccessful your parcel rts creturn sender hour holding period thank youi awb tbegesitsbig cod sie,Ham
Easy money! Like and follow for Zalora and get 808 daily. Apply now: wa.me/639801370122,Phishing,['Phishing'],0,0,0,1,easy moneyi like follow zalora get bob daily apply now wamegegboietoi,Spam
"Hello kumusta poüòò  It is with our great pleasure to invite you and be part as we proudly celebrate BIOESSENCE MEGAMALL 's 28th year Anniversary,  Together lets enjoy this moment with lots of promo, give aways and free treatment too, see you on May 13, Saturday, for confirmation pls call or txt me on this number, Ms.Grace ‚ù£Ô∏è",General Spam,['General Spam'],0,0,1,0,hello kumusta poüòò our great pleasure invite you part we proudly celebrate bioessence megamall bth year anniversary together let enjoy moment lot promo give aways free treatment see you may ie saturday confirmation pls call txt number msgrace ùôè,Spam
"Uy, good news! Mas mura na magpalista ng load nang walang abala, now with as low as ₱10 processing fee! G pa sa isang game! Tap Load > Borrow. Mag-Borrow Load na!",Ham,[],0,0,0,0,uy good newsi ma mura magpalista load nang walang abala now low io processing feei g isang gamei tap load borrow magborrow load nai,Ham
"Pinaka mababa sa buong Pinas! PISO kada P100 ang Pera Padala, may 24k pts pa! Transact na sa nearest branch.'Til July31!T&C apply.DTI FTEB-141534,SeriesOf2022.",Ham,[],0,0,0,0,pinaka mababa buong pinasi piso kada pioo pera padala may ak pt pai transact nearest branchtil julyeiitc applydti ftebiaiseaseriesofo,Ham
But that's on ebay it might be less elsewhere.,Ham,[],0,0,0,0,thats ebay might less elsewhere,Ham
SIM Registration: Your SIM is not yet registered. Avoid blockng: bit.ly/ph-90005,Gambling,['Gambling'],0,1,0,0,sim registration your sim not yet registered avoid blockng urllink,Spam
bahala ka nga dyan,Ham,[],0,0,0,0,bahala ka dyan,Ham
Netflix PH: Your membership is on hold. Update payment to continue: bit.ly/secure-ph-174138,Phishing,['Phishing'],0,0,0,1,netflix ph your membership hold update payment continue urllink,Spam
"To finish logging in, your OTP is 809044. Never share your OTP. q0uXCqkIhgZ",Ham,[],0,0,0,0,finish logging your otp bogoaa never share your otp qouxcqkihgz,Ham
iihaw na lang natin yung isda,Ham,[],0,0,0,0,iihaw natin isda,Ham
Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa URL: 177bet. xyz,Bank Scam,['Bank Scam'],1,0,0,0,nanalo ako pera tuwing tumaya ako soop nanalo iok maaaring isang bug sumali ako url ittbet xyz,Spam
Looking for side hustle? Watch videos & earn 3000-8000. Join: wa.me/639502051930,General Spam,['General Spam'],0,0,1,0,looking side hustle watch video earn eooobooo join wamegegsoosigeo,Spam
fg.ss777b.fo New member download to get P2268 FREE right now and contact our 24/7 service to get it,Gambling,['Gambling'],0,1,0,0,fgsstttbfo new member download get pgb free right now contact our service get,Spam
"You're now registered to FamSURF50 with 5GB (for All Apps and Sites) for 3 days, valid until 2022-12-04, 04:40:50. For status, text FAMSURF STATUS. To stop, text FAMSURF STOP. For more info, text FAMSURF INFO and send to 8080.",Ham,[],0,0,0,0,youre now registered famsurfso sgb cfor all apps site e day valid oioa oaaoso status text famsurf status stop text famsurf stop more info text famsurf info send bobo,Ham
Enjoy WinningPlus Payday Bonanza with Free 999 Bonus. New players enjoy 153% Deposit Bonus. Get Free 588 & 388 Bonus Win Slot Jackpots at https://Winplus.vegas,Gambling,['Gambling'],0,1,0,0,enjoy winningplus payday bonanza free ggg bonus new player enjoy ise deposit bonus get free sbb ebb bonus win slot jackpot urllink,Spam
"PAY777 Magrehistro upang makatanggap ng 137p, tumaya sa pulang sobre na bonus araw-araw, at tumanggap ng cash na pulang sobre araw-araw: https://pay777.pro/","Bank Scam, Gambling","['Bank Scam', 'Gambling']",1,1,0,0,payttt magrehistro upang makatanggap ietp tumaya pulang sobre bonus arawaraw tumanggap cash pulang sobre arawaraw urllink,Spam
2:30pm. sa wensday,Ham,[],0,0,0,0,eopm wensday,Ham
Mm that time you dont like fun,Ham,[],0,0,0,0,mm time you dont like fun,Ham
"Sulit hack: P5 per GB! Get 20GB total data for just P99 with Go+99. That's only about P5 per GB, valid for 7 days! Register now via GlobeOne, GCash, or any retailer near you. No advisories? Text OFF to 2686 for free.",Ham,[],0,0,0,0,sulit hack p per gbi get ogb total data just pgg gotgg thats only p per gb valid daysi register now via globeone gcash retailer near you no advisory text gbg free,Ham
"Your One-Time Password (OTP) is 429904, please enter within 5 minutes. Call BDO Customer Contact Center if you did not login to your account. Ref.No.519922",Ham,[],0,0,0,0,your onetime password cotp aggoa please enter within minute call bdo customer contact center you not login your account refnosigg,Ham
"I'm back &amp; we're packing the car now, I'll let you know if there's room",Ham,[],0,0,0,0,im back amp packing car now ill let you know there room,Ham
"It's not too late to claim your FREEBIE of 1GB for surfing, valid for 7 days. Simply load at least P90 one time by 11/29/2023. If you've already claimed your freebie, please disregard this message. REF#: FGRN20",Ham,[],0,0,0,0,not late claim your freebie igb surfing valid day simply load least pgo one time iigoe youve already claimed your freebie please disregard message ref fgrno,Ham
EastWest Notice: Urgent security update required for your online banking. Login: bit.ly/ph-44867,Bank Scam,['Bank Scam'],1,0,0,0,eastwest notice urgent security update required your online banking login urllink,Spam
Kumusta Lodi! Nakapag register kana ba? Mag Register na kung hindi pa! And get your 120% Welcome B0NU$ FREEPLAY! Sali na! appraisalassociatesark.com/Join,General Spam,['General Spam'],0,0,1,0,kumusta lodii nakapag register kana mag register hindi pai get your io welcome bonus freeplayi sali nai appraisalassociatesarkcomjoin,Spam
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",Ham,[],0,0,0,0,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened,Ham
"Immerse in luck at SugarPlay! Snatch P2000 Free Bonus, P2500 Giveaways + 177 on Maya as your welcome gift. Visit https://Sugarplay0.icu","Bank Scam, Gambling","['Bank Scam', 'Gambling']",1,1,0,0,immerse luck sugarplayi snatch pooo free bonus psoo giveaway itt maya your welcome gift visit urllink,Spam
317849 is your verification code for Telegram. oLeq9AcOZkT,Ham,[],0,0,0,0,eitbag your verification code telegram oleqgacozkt,Ham
"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws. acerush.tv/jgOi",General Spam,['General Spam'],0,0,1,0,log receive phpiob free reward deposit ioo get win highest cash daily draw acerushtvjgoi,Spam
Verify your MAYA mobile number to avoid account deletion. Update here: bit.ly/secure-ph-834398,Bank Scam,['Bank Scam'],1,0,0,0,verify your maya mobile number avoid account deletion update here urllink,Spam
[BDO-ALERT] Your account is on hold please verify here: www.onlinebdo-banking.online if your registered number is still active.,"Bank Scam, Gambling","['Bank Scam', 'Gambling']",1,1,0,0,bdoalert your account hold please verify here urllink your registered number still active,Spam
Wag niyo kalimutan dalhin ung laptop niyo,Ham,[],0,0,0,0,wag niyo kalimutan dalhin ung laptop niyo,Ham
MMDA NO-CONTACT Apprehension:  Visit gov-md.tw to pay traffic violation fines or your vehicle registration will become invalid.,General Spam,['General Spam'],0,0,1,0,mmda nocontact apprehension visit govmdtw pay traffic violation fine your vehicle registration become invalid,Spam
The old BDO Digital Banking app will soon make way for the new BDO Online app. Make the switch and Bank Your Way this holiday season. Download now!,Ham,[],0,0,0,0,old bdo digital banking app soon make way new bdo online app make switch bank your way holiday season download nowi,Ham
Gud mrng dear hav a nice day,Ham,[],0,0,0,0,gud mrng dear hav nice day,Ham
"Hi Mr/Ms <NAME>, RDCN: 66129 can be claimed at any RDPawnshop, RDCredit, Penbank & Villarica branches. Please present valid ID. Thank you!",Ham,[],0,0,0,0,hi mrms name rdcn ggig claimed rdpawnshop rdcredit penbank villarica branch please present valid id thank youi,Ham
Bring home some Wendy =D,Ham,[],0,0,0,0,bring home wendy,Ham
